,Date,Loop ID,Mean Students Boarded,Total Students Boarded,Total Students Left Behind,Temp Mean,Temp Low,Temp High,Humidity Mean,Wind Speed Mean,Rain One Hour Median,Rain Three Hour Median,Snow One Hour Median,Snow Three Hour Median,Month,Season
101,2021-02-11,Blue Loop,0.8714285714285714,427.0,0.0,17.75450000000004,16.988000000000042,19.598000000000024,77.70833333333333,12.266216666666667,,,0.04921259842519685,,February,Winter
102,2021-02-11,Demand Response,1.5,36.0,0.0,17.75450000000004,16.988000000000042,19.598000000000024,77.70833333333333,12.266216666666667,,,0.04921259842519685,,February,Winter
103,2021-02-11,Green Loop,1.020997375328084,1167.0,0.0,17.75450000000004,16.988000000000042,19.598000000000024,77.70833333333333,12.266216666666667,,,0.04921259842519685,,February,Winter
104,2021-02-11,Orange Loop,1.013953488372093,436.0,0.0,17.75450000000004,16.988000000000042,19.598000000000024,77.70833333333333,12.266216666666667,,,0.04921259842519685,,February,Winter
105,2021-02-11,Red Loop,0.9973009446693657,739.0,0.0,17.75450000000004,16.988000000000042,19.598000000000024,77.70833333333333,12.266216666666667,,,0.04921259842519685,,February,Winter
106,2021-02-12,Blue Loop,0.6205450733752621,296.0,0.0,20.07875000000004,15.710000000000086,25.57400000000001,74.5,10.129881666666668,,,,,February,Winter
107,2021-02-12,Demand Response,1.4285714285714286,30.0,0.0,20.07875000000004,15.710000000000086,25.57400000000001,74.5,10.129881666666668,,,,,February,Winter
108,2021-02-12,Green Loop,1.0907590759075907,1322.0,18.0,20.07875000000004,15.710000000000086,25.57400000000001,74.5,10.129881666666668,,,,,February,Winter
109,2021-02-12,Orange Loop,0.8553299492385786,337.0,0.0,20.07875000000004,15.710000000000086,25.57400000000001,74.5,10.129881666666668,,,,,February,Winter
110,2021-02-12,Red Loop,1.0380952380952382,218.0,0.0,20.07875000000004,15.710000000000086,25.57400000000001,74.5,10.129881666666668,,,,,February,Winter
111,2021-02-14,Sunday Green,1.2,270.0,0.0,15.566750000000043,5.3060000000000285,23.01800000000009,79.33333333333333,8.135223333333334,,,,,February,Winter
112,2021-02-14,Sunday Orange,1.0107238605898123,377.0,0.0,15.566750000000043,5.3060000000000285,23.01800000000009,79.33333333333333,8.135223333333334,,,,,February,Winter
113,2021-02-15,Blue Loop,0.7579365079365079,382.0,0.0,14.692250000000046,12.704000000000056,17.528000000000063,79.91666666666667,14.158345833333335,,,0.10826771653543307,,February,Winter
114,2021-02-15,Demand Response,1.3225806451612903,41.0,0.0,14.692250000000046,12.704000000000056,17.528000000000063,79.91666666666667,14.158345833333335,,,0.10826771653543307,,February,Winter
115,2021-02-15,Green Loop,0.7071622846781505,780.0,0.0,14.692250000000046,12.704000000000056,17.528000000000063,79.91666666666667,14.158345833333335,,,0.10826771653543307,,February,Winter
116,2021-02-15,Orange Loop,0.6713091922005571,241.0,0.0,14.692250000000046,12.704000000000056,17.528000000000063,79.91666666666667,14.158345833333335,,,0.10826771653543307,,February,Winter
117,2021-02-15,Red Loop,0.8979020979020979,642.0,0.0,14.692250000000046,12.704000000000056,17.528000000000063,79.91666666666667,14.158345833333335,,,0.10826771653543307,,February,Winter
118,2021-02-16,Blue Loop,0.5558086560364465,244.0,0.0,13.118000000000038,10.31000000000008,17.330000000000037,80.96,12.565676400000005,,,0.20078740157480315,0.3070866141732284,February,Winter
119,2021-02-16,Demand Response,1.1818181818181819,13.0,0.0,13.118000000000038,10.31000000000008,17.330000000000037,80.96,12.565676400000005,,,0.20078740157480315,0.3070866141732284,February,Winter
120,2021-02-16,Green Loop,0.5831775700934579,624.0,0.0,13.118000000000038,10.31000000000008,17.330000000000037,80.96,12.565676400000005,,,0.20078740157480315,0.3070866141732284,February,Winter
121,2021-02-16,Orange Loop,0.4518201284796574,211.0,0.0,13.118000000000038,10.31000000000008,17.330000000000037,80.96,12.565676400000005,,,0.20078740157480315,0.3070866141732284,February,Winter
122,2021-02-16,Red Loop,0.37003058103975534,121.0,0.0,13.118000000000038,10.31000000000008,17.330000000000037,80.96,12.565676400000005,,,0.20078740157480315,0.3070866141732284,February,Winter
123,2021-02-17,Blue Loop,0.9085365853658537,447.0,0.0,9.532250000000039,-2.793999999999976,20.912000000000056,76.5,4.884116666666666,,,,,February,Winter
124,2021-02-17,Demand Response,1.6,48.0,0.0,9.532250000000039,-2.793999999999976,20.912000000000056,76.5,4.884116666666666,,,,,February,Winter
125,2021-02-17,Green Loop,0.9342532467532467,1151.0,0.0,9.532250000000039,-2.793999999999976,20.912000000000056,76.5,4.884116666666666,,,,,February,Winter
126,2021-02-17,Orange Loop,0.6997635933806147,296.0,0.0,9.532250000000039,-2.793999999999976,20.912000000000056,76.5,4.884116666666666,,,,,February,Winter
127,2021-02-17,Red Loop,0.8624641833810889,602.0,0.0,9.532250000000039,-2.793999999999976,20.912000000000056,76.5,4.884116666666666,,,,,February,Winter
128,2021-02-18,Blue Loop,0.7804347826086957,359.0,0.0,19.203500000000048,16.358000000000004,24.314000000000032,80.16666666666667,8.132427083333333,,,0.11023622047244096,0.11023622047244096,February,Winter
129,2021-02-18,Demand Response,1.6842105263157894,32.0,0.0,19.203500000000048,16.358000000000004,24.314000000000032,80.16666666666667,8.132427083333333,,,0.11023622047244096,0.11023622047244096,February,Winter
130,2021-02-18,Green Loop,0.7949552481692432,977.0,5.0,19.203500000000048,16.358000000000004,24.314000000000032,80.16666666666667,8.132427083333333,,,0.11023622047244096,0.11023622047244096,February,Winter
131,2021-02-18,Orange Loop,0.7764705882352941,330.0,0.0,19.203500000000048,16.358000000000004,24.314000000000032,80.16666666666667,8.132427083333333,,,0.11023622047244096,0.11023622047244096,February,Winter
132,2021-02-18,Red Loop,0.7820343461030383,592.0,0.0,19.203500000000048,16.358000000000004,24.314000000000032,80.16666666666667,8.132427083333333,,,0.11023622047244096,0.11023622047244096,February,Winter
